"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app-routing.module.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 1
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app.component.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\app.module.ts", "TypeScript", 0, 60, 0, 1, 7, 68
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\auth-routing.module.ts", "TypeScript", 0, 14, 0, 0, 3, 17
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\auth.component.html", "HTML", 1, 0, 0, 20, 0, 21
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\auth.component.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\auth.module.ts", "TypeScript", 0, 25, 0, 0, 2, 27
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\login\login.component.html", "HTML", 23, 0, 0, 3, 10, 36
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\login\login.component.scss", "SCSS", 0, 0, 14, 0, 3, 17
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\login\login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\auth\login\login.component.ts", "TypeScript", 0, 20, 0, 2, 8, 30
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\shared\components\main-layout\main-layout.component.html", "HTML", 2, 0, 0, 0, 1, 3
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\shared\components\main-layout\main-layout.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\shared\components\main-layout\main-layout.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
